Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
08/11/23,SQ *KOJA KITCHEN SAC T,DEBIT,,,,,,-33.17,,
08/10/23,CHEVRON 0207436,DEBIT,,,,,,-6.05,,
08/10/23,CHEVRON 0207436,DEBIT,,,,,,-100,,
08/10/23,TACO BELL 26783,DEBIT,,,,,,-14.42,,
08/09/23,SQ *FALLING PRICES SUN,DEBIT,,,,,,-91.35,,
08/09/23,STARBUCKS STORE 14829,DEBIT,,,,,,-9.4,,
08/08/23,CHEVRON 0207436,DEBIT,,,,,,-55.06,,
08/08/23,CSC SERVICEWORK,DEBIT,,,,,,-2,,
08/08/23,CSC SERVICEWORK,DEBIT,,,,,,-2,,
08/07/23,ROUND TABLE PIZZA 916,DEBIT,,,,,,-37.88,,
08/07/23,ROUND TABLE PIZZA 916,DEBIT,,,,,,-32.44,,
08/07/23,TARGET        00022681,DEBIT,,,,,,-141.03,,
08/05/23,CHEVRON 0207436,DEBIT,,,,,,-75.59,,
08/05/23,TST* Mizuki Sushi Elk,DEBIT,,,,,,-82.58,,
08/04/23,NUGGET MARKET #6,DEBIT,,,,,,-25.99,,
08/02/23,LOWES #02755*,CREDIT,,,,,,91.99,,
08/02/23,NUGGET MARKET #6,DEBIT,,,,,,-121.04,,
08/02/23,SQ *CIP,DEBIT,,,,,,-18.76,,
08/02/23,THE HOME DEPOT 1846,CREDIT,,,,,,312.84,,
08/01/23,PAPERPIE,DEBIT,,,,,,-94.29,,
